Source,Target,Type,
263,0,structure_shacking_lead,
264,0,structure_shacking_lead,
265,0,structure_shacking_lead,
266,263,oil_pad_voltage_instability_shack,
267,263,motor_error_shack,
268,263,motor_error_shack,
1277,263,strong_wind_shack,
255,263,motor_error_lead,
250,265,motor_error_lead,
251,265,motor_error_lead,
252,265,motor_error_lead,
253,265,motor_error_lead,
255,265,motor_error_lead,
1280,264,strong_wind_shack,
1268,1,targe_star_not_bright,
1269,1,wavefront_sensor_error,
1270,1,wavefront_sensor_error,
1293,1,active_optics_operate_step_error,
1287,1,bad_seeing_lead,
1291,1,bad_sseing_lead,
1292,1268,target_star_selection_error,
1288,1268,bright_night_sky,
1280,1287,lead_seeing_poor,
1281,1287,lead_seeing_poor,
1282,1287,lead_seeing_poor,
1283,1291,lead_doom_seeing_poor,
1284,1291,lead_doom_seeing_poor,
1285,1291,lead_doom_seeing_poor,
259,1284,not_open_lead,
260,1284,not_open_lead,
261,1284,not_open_lead,
261,1284,not_open_lead,
452,1,force_actuator_error_lead,
453,1,force_actuator_error_lead,
454,1,force_actuator_error_lead,
455,1,force_actuator_error_lead,
456,1,force_actuator_error_lead,
457,1,force_actuator_error_lead,
458,1,force_actuator_error_lead,
459,1,force_actuator_error_lead,
460,1,force_actuator_error_lead,
461,1,force_actuator_error_lead,
462,1,force_actuator_error_lead,
463,1,force_actuator_error_lead,
464,1,force_actuator_error_lead,
465,1,force_actuator_error_lead,
466,1,force_actuator_error_lead,
467,1,force_actuator_error_lead,
468,1,force_actuator_error_lead,
469,1,force_actuator_error_lead,
470,1,force_actuator_error_lead,
471,1,force_actuator_error_lead,
472,1,force_actuator_error_lead,
473,1,force_actuator_error_lead,
474,1,force_actuator_error_lead,
475,1,force_actuator_error_lead,
476,1,force_actuator_error_lead,
477,1,force_actuator_error_lead,
478,1,force_actuator_error_lead,
479,1,force_actuator_error_lead,
480,1,force_actuator_error_lead,
481,1,force_actuator_error_lead,
482,1,force_actuator_error_lead,
483,1,force_actuator_error_lead,
484,1,force_actuator_error_lead,
485,1,force_actuator_error_lead,
486,1,force_actuator_error_lead,
487,1,force_actuator_error_lead,
488,1,force_actuator_error_lead,
489,1,force_actuator_error_lead,
490,1,force_actuator_error_lead,
491,1,force_actuator_error_lead,
492,1,force_actuator_error_lead,
493,1,force_actuator_error_lead,
494,1,force_actuator_error_lead,
495,1,force_actuator_error_lead,
496,1,force_actuator_error_lead,
497,1,force_actuator_error_lead,
498,1,force_actuator_error_lead,
499,1,force_actuator_error_lead,
500,1,force_actuator_error_lead,
501,1,force_actuator_error_lead,
502,1,force_actuator_error_lead,
503,1,force_actuator_error_lead,
504,1,force_actuator_error_lead,
505,1,force_actuator_error_lead,
506,1,force_actuator_error_lead,
507,1,force_actuator_error_lead,
508,1,force_actuator_error_lead,
509,1,force_actuator_error_lead,
510,1,force_actuator_error_lead,
511,1,force_actuator_error_lead,
512,1,force_actuator_error_lead,
513,1,force_actuator_error_lead,
514,1,force_actuator_error_lead,
515,1,force_actuator_error_lead,
516,1,force_actuator_error_lead,
517,1,force_actuator_error_lead,
518,1,force_actuator_error_lead,
519,1,force_actuator_error_lead,
520,1,force_actuator_error_lead,
521,1,force_actuator_error_lead,
522,1,force_actuator_error_lead,
523,1,force_actuator_error_lead,
524,1,force_actuator_error_lead,
525,1,force_actuator_error_lead,
526,1,force_actuator_error_lead,
527,1,force_actuator_error_lead,
528,1,force_actuator_error_lead,
529,1,force_actuator_error_lead,
530,1,force_actuator_error_lead,
531,1,force_actuator_error_lead,
532,1,force_actuator_error_lead,
533,1,force_actuator_error_lead,
534,1,force_actuator_error_lead,
535,1,force_actuator_error_lead,
536,1,force_actuator_error_lead,
537,1,force_actuator_error_lead,
538,1,force_actuator_error_lead,
539,1,force_actuator_error_lead,
540,1,force_actuator_error_lead,
541,1,force_actuator_error_lead,
542,1,force_actuator_error_lead,
543,1,force_actuator_error_lead,
544,1,force_actuator_error_lead,
545,1,force_actuator_error_lead,
546,1,force_actuator_error_lead,
547,1,force_actuator_error_lead,
548,1,force_actuator_error_lead,
549,1,force_actuator_error_lead,
550,1,force_actuator_error_lead,
551,1,force_actuator_error_lead,
552,1,force_actuator_error_lead,
553,1,force_actuator_error_lead,
554,1,force_actuator_error_lead,
555,1,force_actuator_error_lead,
556,1,force_actuator_error_lead,
557,1,force_actuator_error_lead,
558,1,force_actuator_error_lead,
559,1,force_actuator_error_lead,
560,1,force_actuator_error_lead,
561,1,force_actuator_error_lead,
562,1,force_actuator_error_lead,
563,1,force_actuator_error_lead,
564,1,force_actuator_error_lead,
565,1,force_actuator_error_lead,
566,1,force_actuator_error_lead,
567,1,force_actuator_error_lead,
568,1,force_actuator_error_lead,
569,1,force_actuator_error_lead,
570,1,force_actuator_error_lead,
571,1,force_actuator_error_lead,
572,1,force_actuator_error_lead,
573,1,force_actuator_error_lead,
574,1,force_actuator_error_lead,
575,1,force_actuator_error_lead,
576,1,force_actuator_error_lead,
577,1,force_actuator_error_lead,
578,1,force_actuator_error_lead,
579,1,force_actuator_error_lead,
580,1,force_actuator_error_lead,
581,1,force_actuator_error_lead,
582,1,force_actuator_error_lead,
583,1,force_actuator_error_lead,
584,1,force_actuator_error_lead,
585,1,force_actuator_error_lead,
586,1,force_actuator_error_lead,
587,1,force_actuator_error_lead,
588,1,force_actuator_error_lead,
589,1,force_actuator_error_lead,
590,1,force_actuator_error_lead,
591,1,force_actuator_error_lead,
592,1,force_actuator_error_lead,
593,1,force_actuator_error_lead,
594,1,force_actuator_error_lead,
595,1,force_actuator_error_lead,
596,1,force_actuator_error_lead,
597,1,force_actuator_error_lead,
598,1,force_actuator_error_lead,
599,1,force_actuator_error_lead,
600,1,force_actuator_error_lead,
601,1,force_actuator_error_lead,
602,1,force_actuator_error_lead,
603,1,force_actuator_error_lead,
604,1,force_actuator_error_lead,
605,1,force_actuator_error_lead,
606,1,force_actuator_error_lead,
607,1,force_actuator_error_lead,
608,1,force_actuator_error_lead,
609,1,force_actuator_error_lead,
610,1,force_actuator_error_lead,
611,1,force_actuator_error_lead,
612,1,force_actuator_error_lead,
613,1,force_actuator_error_lead,
